Airline,Day_of_Month,Delayed_Departure,Total flights per day,Percentage,Tier
American Airlines,1,368,2436,0.1510673234811166,Tier 1
American Airlines,2,327,2671,0.1224260576563085,Tier 1
American Airlines,3,438,2687,0.16300707108299217,Tier 1
American Airlines,4,570,2492,0.22873194221508827,Tier 1
American Airlines,5,372,2641,0.1408557364634608,Tier 1
American Airlines,6,283,2640,0.1071969696969697,Tier 1
American Airlines,7,148,2181,0.06785878037597433,Tier 1
American Airlines,8,252,2380,0.10588235294117647,Tier 1
American Airlines,9,243,2615,0.09292543021032505,Tier 1
American Airlines,10,483,2415,0.2,Tier 1
American Airlines,11,586,1866,0.3140407288317256,Tier 1
American Airlines,12,475,2484,0.19122383252818034,Tier 1
American Airlines,13,354,2554,0.13860610806577917,Tier 1
American Airlines,14,196,2205,0.08888888888888889,Tier 1
American Airlines,15,195,2390,0.08158995815899582,Tier 1
American Airlines,16,751,2611,0.2876292608196093,Tier 1
American Airlines,17,499,2515,0.19840954274353878,Tier 1
American Airlines,18,356,1963,0.18135506877228733,Tier 1
American Airlines,19,290,2367,0.12251795521757498,Tier 1
American Airlines,20,315,2533,0.12435846821950257,Tier 1
American Airlines,21,241,2212,0.1089511754068716,Tier 1
American Airlines,22,258,2392,0.10785953177257525,Tier 1
American Airlines,23,409,2626,0.15575019040365576,Tier 1
American Airlines,24,352,2635,0.1335863377609108,Tier 1
American Airlines,25,222,2039,0.10887690044139284,Tier 1
American Airlines,26,275,2520,0.10912698412698413,Tier 1
American Airlines,27,528,2529,0.20877817319098457,Tier 1
American Airlines,28,188,2209,0.0851063829787234,Tier 1
American Airlines,29,197,2399,0.08211754897874114,Tier 1
American Airlines,30,360,2620,0.13740458015267176,Tier 1
American Airlines,31,425,2645,0.16068052930056712,Tier 1
Delta Airlines,1,140,1856,0.07543103448275862,Tier 1
Delta Airlines,2,187,2366,0.0790363482671175,Tier 1
Delta Airlines,3,466,2345,0.19872068230277184,Tier 1
Delta Airlines,4,241,1993,0.12092323130958355,Tier 1
Delta Airlines,5,327,2501,0.13074770091963214,Tier 1
Delta Airlines,6,330,2809,0.11747953008187967,Tier 1
Delta Airlines,7,153,2719,0.05627068775285031,Tier 1
Delta Airlines,8,233,2752,0.0846656976744186,Tier 1
Delta Airlines,9,165,2838,0.05813953488372093,Tier 1
Delta Airlines,10,288,2834,0.10162314749470713,Tier 1
Delta Airlines,11,485,2022,0.23986152324431256,Tier 1
Delta Airlines,12,344,2635,0.13055028462998103,Tier 1
Delta Airlines,13,465,2813,0.16530394596516174,Tier 1
